Date,Score,Fatigue,Mood,Soreness,Stress,SleepQuality,SleepHours,FullName
6/30/2016,84.75,1,1,1,2,1,6,Reyna Swanson
6/30/2016,95,2,2,2,2,2,7,Hillary Rogers
6/30/2016,72.2,1,2,-1,2,1,7,Catalina Rosario
6/30/2016,89,2,2,0,2,1,8,Tasha Conner
6/30/2016,93.75,2,2,1,2,2,8,Saundra Maldonado
6/30/2016,72.75,0,0,1,1,-2,6,Leslie Bradford
6/30/2016,94,2,2,2,2,1,8,May Garner
6/30/2016,83.5,1,1,1,1,1,6.5,Delia Alston
6/30/2016,86.5,1,1,1,1,1,7,Benita Gallagher
6/30/2016,68.5,0,0,0,0,0,5,Kathleen Barnes
6/30/2016,92.75,2,2,1,1,2,9,Cassandra White
6/30/2016,96.5,2,2,2,3,2,8,Josie Merrill
6/30/2016,95.75,2,2,2,2,2,8,Isabel Quinn
6/30/2016,91.75,2,3,0,2,2,10,Silvia Pitts
6/30/2016,98,2,3,2,3,3,9,Marta Saunders
6/30/2016,94.5,2,2,1,2,3,9,Megan Britt
6/30/2016,89.75,1,2,1,2,1,8,Tiffany Morrison
6/29/2016,93,2,2,1,2,2,7,Reyna Swanson
6/29/2016,91.25,2,2,1,2,1,7,Hillary Rogers
6/29/2016,93.5,1,2,2,2,2,8,Saundra Maldonado
6/29/2016,91.75,1,2,2,2,1,8.5,May Garner
6/29/2016,87,0,1,1,2,2,8,Delia Alston
6/29/2016,87.25,1,1,1,1,1,8,Benita Gallagher
6/29/2016,84.25,0,2,0,1,2,9,Cassandra White
6/29/2016,97.25,2,3,2,2,3,10,Josie Merrill
6/29/2016,96.25,2,2,2,2,3,8,Isabel Quinn
6/29/2016,93.75,1,3,1,3,3,10,Silvia Pitts
6/29/2016,91.25,2,2,1,2,1,7,Marta Saunders
6/29/2016,94.5,2,1,2,2,2,8,Megan Britt
6/29/2016,89.75,1,2,1,2,1,8,Tiffany Morrison
6/28/2016,93.75,2,2,1,2,2,8,Reyna Swanson
6/28/2016,87.25,1,1,1,1,1,8,Hillary Rogers
6/28/2016,92.25,1,2,2,1,2,8,Catalina Rosario
6/28/2016,68.1,-1,2,-1,2,-1,8,Tasha Conner
6/28/2016,95.75,2,2,2,2,2,8,Saundra Maldonado
6/28/2016,96.75,2,3,2,2,2,9,Leslie Bradford
6/28/2016,91.75,1,2,2,2,1,8.5,May Garner
6/28/2016,86.5,1,1,1,1,1,7,Delia Alston
6/28/2016,82.5,1,0,1,1,0,7,Benita Gallagher
6/28/2016,89.25,1,1,1,3,1,8,Kathleen Barnes
6/28/2016,84.25,0,2,0,1,2,9,Cassandra White
6/28/2016,98.5,3,3,3,2,2,8,Josie Merrill
6/28/2016,92,1,2,1,2,3,8,Isabel Quinn
6/28/2016,90.25,1,3,0,3,2,9,Silvia Pitts
6/28/2016,99.75,3,3,3,3,3,8,Marta Saunders
6/28/2016,86.5,1,1,2,-1,2,8,Megan Britt
6/28/2016,84.75,1,1,0,2,1,7,Tiffany Morrison
6/27/2016,90.75,1,2,1,2,2,7,Reyna Swanson
6/27/2016,76.5,1,0,0,1,0,6,Hillary Rogers
6/27/2016,95.75,2,2,2,2,2,8,Saundra Maldonado
6/27/2016,86.5,1,1,1,1,1,7,Benita Gallagher
6/27/2016,88.5,1,2,1,1,1,8,Cassandra White
6/27/2016,95.75,2,2,2,3,2,7,Josie Merrill
6/27/2016,93.5,1,3,1,3,3,8,Isabel Quinn
6/27/2016,98.75,2,3,3,3,3,8,Marta Saunders
6/27/2016,84.5,1,1,1,1,-1,8.5,Megan Britt
6/27/2016,89,1,2,1,2,1,7,Tiffany Morrison
6/26/2016,39.75,-3,0,-2,0,-1,3.5,Hillary Rogers
6/26/2016,94,3,2,1,2,2,7,Saundra Maldonado
6/26/2016,66.84,-1,1,1,1,-1,5,Delia Alston
6/26/2016,74.85,3,3,2,2,1,5,Josie Merrill
6/26/2016,50.02,-2,1,-2,2,0,4,Isabel Quinn
6/26/2016,60.34,-1,1,-1,1,-2,3,Silvia Pitts
6/26/2016,48.52,-2,2,-2,1,-1,4.5,Tiffany Morrison
6/25/2016,93.5,1,2,2,2,2,8.5,Hillary Rogers
6/25/2016,96,2,2,2,2,2,9,Saundra Maldonado
6/25/2016,90.75,2,1,2,1,1,7,Delia Alston
6/25/2016,90.25,1,2,1,1,2,8,Cassandra White
6/25/2016,99.5,3,3,3,3,2,9,Josie Merrill
6/25/2016,93.75,2,2,1,2,2,8,Isabel Quinn
6/25/2016,86.75,1,3,2,3,-1,6,Silvia Pitts
6/25/2016,90.5,1,1,1,2,2,9.5,Megan Britt
6/25/2016,91.75,1,2,1,2,2,9,Tiffany Morrison
6/24/2016,91.75,1,2,1,2,2,10,Reyna Swanson
6/24/2016,87.75,2,2,1,0,1,7.5,Hillary Rogers
6/24/2016,82.25,0,2,0,2,0,8,Tasha Conner
6/24/2016,93.75,2,2,1,2,2,8,Saundra Maldonado
6/24/2016,91.75,1,2,1,2,2,10,May Garner
6/24/2016,85,0,1,1,1,2,7,Delia Alston
6/24/2016,77.5,0,1,1,1,-1,6,Benita Gallagher
6/24/2016,80,0,2,0,0,1,8,Cassandra White
6/24/2016,98.5,3,3,2,3,2,10,Josie Merrill
6/24/2016,92.25,2,2,1,2,1,9,Isabel Quinn
6/24/2016,95.75,2,3,2,2,2,7,Marta Saunders
6/24/2016,72.27,1,0,-1,2,2,10,Megan Britt
6/24/2016,71.2,1,2,1,2,-1,5,Tiffany Morrison
6/23/2016,89.75,1,2,1,2,1,8,Reyna Swanson
6/23/2016,80.5,1,1,0,1,1,6,Hillary Rogers
6/23/2016,89,1,2,1,2,1,7,Catalina Rosario
6/23/2016,80,0,2,0,2,-1,7,Tasha Conner
6/23/2016,91.5,1,2,1,2,2,8,Saundra Maldonado
6/23/2016,88,1,2,2,2,1,6.5,May Garner
6/23/2016,68.75,1,0,1,-1,-1,5,Delia Alston
6/23/2016,89.25,1,1,2,1,1,8,Benita Gallagher
6/23/2016,78,0,2,0,0,0,7,Cassandra White
6/23/2016,98,3,2,3,2,2,9,Josie Merrill
6/23/2016,91.75,1,2,1,2,2,9,Isabel Quinn
6/23/2016,86.75,1,2,0,3,1,7,Marta Saunders
6/23/2016,87.75,1,1,0,2,3,8,Megan Britt
6/23/2016,85.75,0,2,1,2,1,7,Tiffany Morrison
6/22/2016,87.75,1,1,1,2,1,7,Reyna Swanson
6/22/2016,87.25,1,1,1,1,1,8,Hillary Rogers
6/22/2016,86.75,1,2,0,2,1,8,Catalina Rosario
6/22/2016,71.2,-1,2,0,2,-1,7,Tasha Conner
6/22/2016,87.75,1,2,1,2,2,6,Saundra Maldonado
6/22/2016,96,2,2,2,2,2,9,Leslie Bradford
6/22/2016,93.75,1,2,2,2,2,9.5,May Garner
6/22/2016,84.25,1,1,1,0,1,7,Delia Alston
6/22/2016,87.25,1,1,1,1,1,8,Benita Gallagher
