Name,PositionName,MaximumVelocity,TotalDuration,TotalPlayerLoad,TotalDistance,HIDistanceAverage,Time90HRmax,HIDistance,MaxSprints,HIRuns
Marcie Whitaker - SR TESTING 03-18-2016,Full Back,0,2016-08-22 02:36:31.0000000 -07:00,472.72672,0,0,2016-08-22 12:00:52.0000000 -07:00,0,0,0
Marcie Whitaker - SR TEAM TRAINING 03-21-2016,Full Back,13.4334,2016-08-22 01:53:58.0000000 -07:00,137.71278,1597.45813,0,2016-08-22 12:00:00.0000000 -07:00,0,0,0
Tiffany Morrison - SR TEAM TRAINING 03-14-2016,Wide Midfield,22.7682,2016-08-22 01:08:31.0000000 -07:00,613.71481,6805.1084,137.34,2016-08-22 12:33:43.0000000 -07:00,137.34,1,19
Tiffany Morrison - SR TEAM TRAINING 03-16-2016,Wide Midfield,23.9202,2016-08-22 01:05:34.0000000 -07:00,499.51351,5487.23413,629.86,2016-08-22 12:19:03.0000000 -07:00,629.86,2,23
Tiffany Morrison - SR TESTING 03-18-2016,Wide Midfield,0,2016-08-22 02:36:31.0000000 -07:00,439.45491,0,0,2016-08-22 12:08:52.0000000 -07:00,0,0,0
Tiffany Morrison - SR TEAM TRAINING 03-20-2016,Wide Midfield,23.4414,2016-08-22 01:04:44.0000000 -07:00,595.51635,6705.31369,349.07,2016-08-22 12:37:42.0000000 -07:00,349.07,2,30
Tiffany Morrison - SR TEAM TRAINING 03-21-2016,Wide Midfield,21.6666,2016-08-22 01:19:06.0000000 -07:00,503.59113,5803.828,186.12999,2016-08-22 12:13:46.0000000 -07:00,186.12999,0,24
Tiffany Morrison - SR TEAM TRAINING 03-23-2016,Wide Midfield,20.4246,2016-08-22 01:12:08.0000000 -07:00,447.03666,5203.67072,104.48,2016-08-22 12:15:28.0000000 -07:00,104.48,0,15
Tiffany Morrison - SR TEAM TRAINING 03-25-2016,Wide Midfield,24.1614,2016-08-22 12:59:01.0000000 -07:00,386.02436,4134.18066,75.32,2016-08-22 12:04:05.0000000 -07:00,75.32,2,8
Tiffany Morrison - SR TEAM TRAINING 03-26-2016,Wide Midfield,18.765,2016-08-22 12:27:45.0000000 -07:00,180.66671,2121.69019,4.46,2016-08-22 12:00:00.0000000 -07:00,4.46,0,1
Tiffany Morrison - SR V PT 03-27-2016,Wide Midfield,25.5906,2016-08-22 02:00:23.0000000 -07:00,934.15778,10363.21875,500.70998,2016-08-22 12:41:58.0000000 -07:00,500.70998,6,46
Tiffany Morrison - SR V HD 03-30-2016,Wide Midfield,24.7806,2016-08-22 01:34:00.0000000 -07:00,622.39085,7063.82349,313.78001,2016-08-22 12:28:30.0000000 -07:00,313.78001,3,38
Tiffany Morrison - SR TEAM TRAINING 04-01-2016,Wide Midfield,22.9122,2016-08-22 12:49:34.0000000 -07:00,276.40789,3049.52515,54.02,2016-08-22 12:05:02.0000000 -07:00,54.02,0,8
Tiffany Morrison - SR TEAM TRAINING 04-05-2016,Wide Midfield,23.8266,2016-08-22 01:09:02.0000000 -07:00,432.52863,4806.81116,526.63,2016-08-22 12:08:23.0000000 -07:00,526.63,5,22
Tiffany Morrison - SR TEAM TRAINING 04-06-2016,Wide Midfield,22.131,2016-08-22 01:07:47.0000000 -07:00,473.66545,5319.06799,147.67,2016-08-22 12:18:28.0000000 -07:00,147.67,0,25
Tiffany Morrison - SR TEAM TRAINING 04-08-2016,Wide Midfield,21.0618,2016-08-22 01:24:01.0000000 -07:00,324.22512,3565.98859,62,2016-08-22 12:00:23.0000000 -07:00,62,0,10
Tiffany Morrison - SR V UW 04-09-2016,Wide Midfield,25.2702,2016-08-22 01:37:17.0000000 -07:00,950.54306,10818.9043,465.55,2016-08-22 12:44:22.0000000 -07:00,465.55,7,35
Tiffany Morrison - SR TEAM TRAINING 04-11-2016,Wide Midfield,21.4866,2016-08-22 12:58:10.0000000 -07:00,310.80015,3308.16528,104.18,2016-08-22 12:01:08.0000000 -07:00,104.18,0,13
Tiffany Morrison - SR TEAM TRAINING 04-12-2016,Wide Midfield,25.2738,2016-08-22 01:04:28.0000000 -07:00,281.43024,2941.19739,144.59,2016-08-22 12:03:58.0000000 -07:00,144.59,1,22
Tiffany Morrison - SR TEAM TRAINING 04-13-2016,Wide Midfield,24.8526,2016-08-22 12:59:46.0000000 -07:00,412.21844,4627.81793,472.78,2016-08-22 12:08:57.0000000 -07:00,472.78,4,17
Tiffany Morrison - SR TEAM TRAINING 04-15-2016,Wide Midfield,23.085,2016-08-22 12:58:40.0000000 -07:00,348.99905,3740.78961,216.70999,2016-08-22 12:11:06.0000000 -07:00,216.70999,1,18
Tiffany Morrison - SR TEAM TRAINING 04-16-2016,Wide Midfield,23.6574,2016-08-22 12:39:42.0000000 -07:00,299.0712,3206.51215,160.11999,2016-08-22 12:06:27.0000000 -07:00,160.11999,1,12
Tiffany Morrison - SR V SB 04-17-2016,Wide Midfield,27.5526,2016-08-22 01:38:04.0000000 -07:00,838.95123,9566.79932,565.37,2016-08-22 12:57:51.0000000 -07:00,565.37,8,43
Tiffany Morrison - SR TEAM TRAINING 04-20-2016,Wide Midfield,22.6602,2016-08-22 01:00:57.0000000 -07:00,330.25241,3647.15723,191.6,2016-08-22 12:09:19.0000000 -07:00,191.6,0,27
Tiffany Morrison - SR TEAM TRAINING 04-21-2016,Wide Midfield,25.9218,2016-08-22 01:06:40.0000000 -07:00,470.21531,5095.01941,238.26,2016-08-22 12:12:48.0000000 -07:00,238.26,4,20
Tiffany Morrison - SR V BB 04-24-2016,Wide Midfield,26.5626,2016-08-22 01:38:29.0000000 -07:00,1040.67706,11397.32715,652.87998,2016-08-22 12:53:23.0000000 -07:00,652.87998,8,50
Tiffany Morrison - SR TEAM TRAINING 04-26-2016,Wide Midfield,21.5802,2016-08-22 12:57:24.0000000 -07:00,316.8439,3298.31909,22.81,2016-08-22 12:00:00.0000000 -07:00,22.81,0,4
Tiffany Morrison - SR TEAM TRAINING 04-27-2016,Wide Midfield,25.6842,2016-08-22 12:57:18.0000000 -07:00,418.37134,4539.75928,146.09,2016-08-22 12:16:15.0000000 -07:00,146.09,1,16
Tiffany Morrison - SR TEAM TRAINING 04-29-2016,Wide Midfield,24.165,2016-08-22 01:13:36.0000000 -07:00,374.05051,3985.71655,187.52,2016-08-22 12:08:08.0000000 -07:00,187.52,1,23
Tiffany Morrison - SR TEAM TRAINING 04-30-2016,Wide Midfield,24.1038,2016-08-22 12:39:40.0000000 -07:00,247.39646,2971.88708,106.82,2016-08-22 12:00:00.0000000 -07:00,106.82,1,12
Tiffany Morrison - SR V KC 05-01-2016,Wide Midfield,24.7626,2016-08-22 01:36:47.0000000 -07:00,948.36374,10493.35938,280.04001,2016-08-22 01:08:51.0000000 -07:00,280.04001,3,33
Tiffany Morrison - SR TEAM TRAINING 05-03-2016,Wide Midfield,24.4854,2016-08-22 01:00:02.0000000 -07:00,368.00957,4340.00354,314.53001,2016-08-22 12:03:19.0000000 -07:00,314.53001,2,26
Tiffany Morrison - SR TEAM TRAINING 05-04-2016,Wide Midfield,23.9814,2016-08-22 12:54:02.0000000 -07:00,307.2098,3298.42047,91.92,2016-08-22 12:00:32.0000000 -07:00,91.92,1,10
Tiffany Morrison - SR TEAM TRAINING 05-06-2016,Wide Midfield,20.8206,2016-08-22 12:54:27.0000000 -07:00,294.36157,3293.58374,38.41,2016-08-22 12:02:08.0000000 -07:00,38.41,0,4
Tiffany Morrison - SR V OP 05-08-2016,Wide Midfield,25.749,2016-08-22 01:37:09.0000000 -07:00,917.44727,10299.88379,420.87001,2016-08-22 12:57:42.0000000 -07:00,420.87001,5,47
Tiffany Morrison - SR TEAM TRAINING 05-11-2016,Wide Midfield,25.2054,2016-08-22 01:00:02.0000000 -07:00,374.22976,4053.0791,507.16,2016-08-22 12:12:49.0000000 -07:00,507.16,7,24
Tiffany Morrison - SR TEAM TRAINING 05-12-2016,Wide Midfield,21.6198,2016-08-22 01:05:19.0000000 -07:00,495.01161,5444.88843,66.76,2016-08-22 12:02:57.0000000 -07:00,66.76,0,7
Tiffany Morrison - SR V PT 05-14-2016,Wide Midfield,24.039,2016-08-22 01:35:45.0000000 -07:00,943.18396,10668.06934,476.45,2016-08-22 12:47:46.0000000 -07:00,476.45,3,47
Tiffany Morrison - SR TEAM TRAINING 05-17-2016,Wide Midfield,21.7386,2016-08-22 01:24:12.0000000 -07:00,489.14523,5344.02954,74.86,2016-08-22 12:07:20.0000000 -07:00,74.86,0,13
Tiffany Morrison - SR TEAM TRAINING 05-18-2016,Wide Midfield,25.0218,2016-08-22 12:51:17.0000000 -07:00,361.43992,3935.47382,441.06,2016-08-22 12:05:59.0000000 -07:00,441.06,4,20
Tiffany Morrison - SR TEAM TRAINING 05-20-2016,Wide Midfield,24.1254,2016-08-22 01:14:40.0000000 -07:00,373.84676,4106.32013,50.01,2016-08-22 12:01:17.0000000 -07:00,50.01,1,8
Tiffany Morrison - SR TEAM TRAINING 05-21-2016,Wide Midfield,21.1698,2016-08-22 12:48:05.0000000 -07:00,250.99294,2824.58691,55.64,2016-08-22 12:00:28.0000000 -07:00,55.64,0,8
Tiffany Morrison - SR V CR 05-22-2016,Wide Midfield,24.4602,2016-08-22 01:36:09.0000000 -07:00,977.65366,10894.96045,410.92,2016-08-22 12:58:47.0000000 -07:00,410.92,1,47
Tiffany Morrison - SR TEAM TRAINING 05-24-2016,Wide Midfield,25.2774,2016-08-22 01:22:01.0000000 -07:00,410.5495,4224.40787,225.85001,2016-08-22 12:13:28.0000000 -07:00,225.85001,4,19
Tiffany Morrison - SR TEAM TRAINING 05-25-2016,Wide Midfield,22.1202,2016-08-22 12:36:14.0000000 -07:00,186.99843,2096.47241,111.82,2016-08-22 12:00:55.0000000 -07:00,111.82,0,16
Tiffany Morrison - SR V AL 05-26-2016,Wide Midfield,24.9858,2016-08-22 12:48:35.0000000 -07:00,424.86118,4960.41895,313.38999,2016-08-22 12:17:39.0000000 -07:00,313.38999,3,24
Tiffany Morrison - SR TEAM TRAINING 05-28-2016,Wide Midfield,21.3678,2016-08-22 12:46:49.0000000 -07:00,227.53885,2400.32495,27.36,2016-08-22 12:00:11.0000000 -07:00,27.36,0,2
Tiffany Morrison - SR V PT 5-29-2016,Wide Midfield,26.2494,2016-08-22 01:30:09.0000000 -07:00,904.6759,10080.54932,705.60001,2016-08-22 12:43:55.0000000 -07:00,705.60001,12,48
Tiffany Morrison - SR TEAM TRAINING 06-06-2016,Wide Midfield,24.0102,2016-08-22 01:01:05.0000000 -07:00,412.4583,4278.34521,70.61,2016-08-22 12:22:13.0000000 -07:00,70.61,1,10
Tiffany Morrison - SR TEAM TRAINING 06-07-2016,Wide Midfield,24.039,2016-08-22 01:14:19.0000000 -07:00,429.42213,4420.76331,368.71999,2016-08-22 12:03:31.0000000 -07:00,368.71999,3,10
Tiffany Morrison - SR TEAM TRAINING 06-09-2016,Wide Midfield,15.2874,2016-08-22 12:53:04.0000000 -07:00,155.48064,1417.54907,0,2016-08-22 12:00:00.0000000 -07:00,0,0,0
Tiffany Morrison - SR TEAM TRAINING 06-10-2016,Wide Midfield,23.3262,2016-08-22 01:21:44.0000000 -07:00,469.55529,5302.63477,107.07,2016-08-22 12:17:35.0000000 -07:00,107.07,1,13
Tiffany Morrison - SR TEAM TRAINING 06-11-2016,Wide Midfield,21.8898,2016-08-22 12:39:55.0000000 -07:00,225.65509,2553.71332,54.76,2016-08-22 12:01:14.0000000 -07:00,54.76,0,5
Tiffany Morrison - SR V HD 06-12-2016,Wide Midfield,25.6914,2016-08-22 01:36:23.0000000 -07:00,895.74142,10376.89502,717.32,2016-08-22 01:00:57.0000000 -07:00,717.32,9,60
Tiffany Morrison - SR TEAM TRAINING 06-15-2016,Wide Midfield,23.571,2016-08-22 01:02:32.0000000 -07:00,395.77339,4227.34229,571.04,2016-08-22 12:14:55.0000000 -07:00,571.04,4,21
