Name,PositionName,MaximumVelocity,TotalDuration,TotalPlayerLoad,TotalDistance,HIDistanceAverage,Time90HRmax,HIDistance,MaxSprints,HIRuns
Tiffany Morrison - SR TEAM TRAINING 06-16-2016,Wide Midfield,24.5286,2016-08-22 02:00:33.0000000 -07:00,622.02881,6997.51599,268.82001,2016-08-22 12:51:56.0000000 -07:00,268.82001,4,23
Tiffany Morrison - SR V SB 06-19-2016,Wide Midfield,27.171,2016-08-22 01:35:40.0000000 -07:00,809.17615,10128.71094,700.98999,2016-08-22 01:01:15.0000000 -07:00,700.98999,6,46
Tiffany Morrison - SR TEAM TRAINING 06-21-2016,Wide Midfield,19.6002,2016-08-22 01:04:18.0000000 -07:00,308.75496,3318.29614,5.68,2016-08-22 12:08:44.0000000 -07:00,5.68,0,1
Tiffany Morrison - SR TEAM TRAINING 06-22-2016,Wide Midfield,23.7798,2016-08-22 12:51:28.0000000 -07:00,364.05975,3849.28186,187.74,2016-08-22 12:00:00.0000000 -07:00,187.74,1,17
Tiffany Morrison - SR TEAM TRAINING 06-24-2016,Wide Midfield,20.835,2016-08-22 12:49:09.0000000 -07:00,213.88846,2227.75928,10.44,2016-08-22 12:04:54.0000000 -07:00,10.44,0,1
Tiffany Morrison - SR V KC 06-25-2016,Wide Midfield,25.3458,2016-08-22 01:40:32.0000000 -07:00,819.4353,10126.32373,572.14001,2016-08-22 01:10:41.0000000 -07:00,572.14001,7,45
Tiffany Morrison - SR TEAM TRAINING 06-28-2016,Wide Midfield,23.2362,2016-08-22 01:33:33.0000000 -07:00,328.53072,3767.84521,234.48,2016-08-22 12:07:53.0000000 -07:00,234.48,2,22
Tiffany Morrison - SR TEAM TRAINING 06-30-2016,Wide Midfield,23.1966,2016-08-22 01:35:29.0000000 -07:00,426.67639,4853.58215,94.71,2016-08-22 12:01:09.0000000 -07:00,94.71,1,14
Josie Merrill - SR TEAM TRAINING 03-16-2016,Full Back,25.5546,2016-08-22 01:05:34.0000000 -07:00,588.8549,5632.55554,760.00998,2016-08-22 12:00:00.0000000 -07:00,760.00998,10,33
Josie Merrill - SR TESTING 03-18-2016,Full Back,0,2016-08-22 02:36:31.0000000 -07:00,538.69769,0,0,2016-08-22 12:04:43.0000000 -07:00,0,0,0
Josie Merrill - SR TEAM TRAINING 03-21-2016,Full Back,27.6498,2016-08-22 01:19:06.0000000 -07:00,634.10472,6228.46899,217.63001,2016-08-22 12:29:04.0000000 -07:00,217.63001,2,32
Josie Merrill - SR TEAM TRAINING 03-23-2016,Full Back,27.6174,2016-08-22 01:12:08.0000000 -07:00,454.75435,4639.1225,166.39,2016-08-22 12:09:59.0000000 -07:00,166.39,3,20
Josie Merrill - SR TEAM TRAINING 03-25-2016,Full Back,21.7602,2016-08-22 12:59:01.0000000 -07:00,356.54906,3320.06079,56.73,2016-08-22 12:08:48.0000000 -07:00,56.73,0,8
Josie Merrill - SR V PT 03-27-2016,Full Back,28.4562,2016-08-22 01:13:43.0000000 -07:00,737.77321,7412.78918,484.09001,2016-08-22 12:04:42.0000000 -07:00,484.09001,7,37
Josie Merrill - SR TEAM TRAINING 03-29-2016,Full Back,23.9706,2016-08-22 01:04:34.0000000 -07:00,376.6142,4078.32281,142.2,2016-08-22 12:13:49.0000000 -07:00,142.2,1,14
Josie Merrill - SR V HD 03-30-2016,Full Back,27.4842,2016-08-22 01:34:00.0000000 -07:00,1016.22391,10012.17773,523.41,2016-08-22 01:10:50.0000000 -07:00,523.41,10,50
Josie Merrill - SR TEAM TRAINING 04-01-2016,Full Back,20.5398,2016-08-22 12:49:34.0000000 -07:00,311.12166,3038.27585,15.08,2016-08-22 12:11:39.0000000 -07:00,15.08,0,3
Josie Merrill - SR V OSU 04-02-2016,Full Back,28.1178,2016-08-22 01:33:27.0000000 -07:00,805.00067,8005.32764,482.59998,2016-08-22 12:41:13.0000000 -07:00,482.59998,8,35
Josie Merrill - SR TEAM TRAINING 04-05-2016,Full Back,26.4798,2016-08-22 01:09:02.0000000 -07:00,534.62605,5155.60699,700.57002,2016-08-22 12:24:03.0000000 -07:00,700.57002,7,37
Josie Merrill - SR TEAM TRAINING 04-06-2016,Full Back,23.4918,2016-08-22 01:07:47.0000000 -07:00,505.64011,4937.77002,356.19999,2016-08-22 12:11:51.0000000 -07:00,356.19999,1,29
Josie Merrill - SR TEAM TRAINING 04-08-2016,Full Back,23.1606,2016-08-22 01:24:01.0000000 -07:00,417.44196,4019.70135,127.86,2016-08-22 12:10:51.0000000 -07:00,127.86,0,20
Josie Merrill - SR V UW 04-09-2016,Full Back,27.693,2016-08-22 12:47:53.0000000 -07:00,531.95026,5678.45508,434.40999,2016-08-22 12:27:47.0000000 -07:00,434.40999,8,26
Josie Merrill - SR TEAM TRAINING 04-11-2016,Full Back,25.9542,2016-08-22 12:58:10.0000000 -07:00,264.36857,2615.90533,102.99,2016-08-22 12:00:04.0000000 -07:00,102.99,2,12
Josie Merrill - SR TEAM TRAINING 04-12-2016,Full Back,26.0082,2016-08-22 01:04:28.0000000 -07:00,398.2382,3795.64587,289.03,2016-08-22 12:10:09.0000000 -07:00,289.03,5,37
Josie Merrill - SR TEAM TRAINING 04-13-2016,Full Back,27.063,2016-08-22 12:59:46.0000000 -07:00,489.22998,4946.66748,517.11001,2016-08-22 12:17:43.0000000 -07:00,517.11001,9,23
Josie Merrill - SR TEAM TRAINING 04-15-2016,Full Back,20.295,2016-08-22 12:58:40.0000000 -07:00,288.04056,2495.36609,19.78,2016-08-22 12:06:50.0000000 -07:00,19.78,0,5
Josie Merrill - SR TEAM TRAINING 04-16-2016,Full Back,27.4446,2016-08-22 12:39:42.0000000 -07:00,331.90139,3232.13007,149.78,2016-08-22 12:12:54.0000000 -07:00,149.78,5,12
Josie Merrill - SR V SB 04-17-2016,Full Back,26.649,2016-08-22 01:38:04.0000000 -07:00,981.83887,10626.07422,578.02,2016-08-22 12:57:25.0000000 -07:00,578.02,12,47
Josie Merrill - SR TEAM TRAINING 04-20-2016,Full Back,26.1342,2016-08-22 01:00:57.0000000 -07:00,390.95665,3957.21643,329.32,2016-08-22 12:27:12.0000000 -07:00,329.32,6,32
Josie Merrill - SR TEAM TRAINING 04-21-2016,Full Back,27.2142,2016-08-22 01:06:40.0000000 -07:00,552.72572,5339.89734,217.27,2016-08-22 12:07:56.0000000 -07:00,217.27,5,19
Josie Merrill - SR V BB 04-24-2016,Full Back,28.4454,2016-08-22 01:38:29.0000000 -07:00,728.83562,7924.02954,779.71,2016-08-22 12:30:53.0000000 -07:00,779.71,16,43
Josie Merrill - SR TEAM TRAINING 04-26-2016,Full Back,19.9962,2016-08-22 12:57:24.0000000 -07:00,310.11746,3194.46606,27.79,2016-08-22 12:06:10.0000000 -07:00,27.79,0,4
Josie Merrill - SR TEAM TRAINING 04-27-2016,Full Back,25.4502,2016-08-22 01:08:08.0000000 -07:00,423.90194,4499.11664,183.99,2016-08-22 12:13:28.0000000 -07:00,183.99,2,16
Josie Merrill - SR TEAM TRAINING 04-29-2016,Full Back,26.6742,2016-08-22 01:01:25.0000000 -07:00,369.19879,3935.13519,423.87001,2016-08-22 12:19:03.0000000 -07:00,423.87001,10,30
Josie Merrill - SR V KC 05-01-2016,Full Back,28.035,2016-08-22 01:36:47.0000000 -07:00,955.81879,10194.15869,478.52,2016-08-22 01:04:05.0000000 -07:00,478.52,8,42
Josie Merrill - SR TEAM TRAINING 05-03-2016,Full Back,21.0906,2016-08-22 01:00:02.0000000 -07:00,304.87976,2931.72131,54.37,2016-08-22 12:07:37.0000000 -07:00,54.37,0,7
Josie Merrill - SR TEAM TRAINING 05-04-2016,Full Back,23.3514,2016-08-22 12:54:02.0000000 -07:00,341.05355,3417.6778,115.87,2016-08-22 12:04:33.0000000 -07:00,115.87,1,13
Josie Merrill - SR TEAM TRAINING 05-06-2016,Full Back,21.1446,2016-08-22 12:54:27.0000000 -07:00,311.28687,3304.84814,30.02,2016-08-22 12:05:24.0000000 -07:00,30.02,0,5
Josie Merrill - SR V OP 05-08-2016,Full Back,26.7102,2016-08-22 01:37:09.0000000 -07:00,901.96954,10133.32568,535.86999,2016-08-22 12:39:01.0000000 -07:00,535.86999,9,44
Josie Merrill - SR TEAM TRAINING 05-11-2016,Full Back,27.1026,2016-08-22 01:00:02.0000000 -07:00,302.31461,3001.14514,462.15,2016-08-22 12:18:25.0000000 -07:00,462.15,7,15
Josie Merrill - SR TEAM TRAINING 05-12-2016,Full Back,25.2486,2016-08-22 01:14:25.0000000 -07:00,522.34901,5659.29279,194.09,2016-08-22 12:30:03.0000000 -07:00,194.09,2,23
Josie Merrill - SR TEAM TRAINING 05-13-2016,Full Back,23.4126,2016-08-22 12:40:00.0000000 -07:00,206.38059,1944.0351,62.13,2016-08-22 12:09:30.0000000 -07:00,62.13,2,7
Josie Merrill - SR V PT 05-14-2016,Full Back,28.8414,2016-08-22 01:33:37.0000000 -07:00,1028.79822,10811.10791,959.57002,2016-08-22 12:23:21.0000000 -07:00,959.57002,25,72
Josie Merrill - SR TEAM TRAINING 05-17-2016,Full Back,23.8626,2016-08-22 01:11:29.0000000 -07:00,461.61163,4747.11139,208.49,2016-08-22 12:17:42.0000000 -07:00,208.49,2,30
Josie Merrill - SR TEAM TRAINING 05-18-2016,Full Back,28.449,2016-08-22 12:51:17.0000000 -07:00,418.19361,4461.40778,509.32,2016-08-22 12:19:56.0000000 -07:00,509.32,7,28
Josie Merrill - SR TEAM TRAINING 05-20-2016,Full Back,23.7438,2016-08-22 01:26:34.0000000 -07:00,421.59221,4665.65491,141.3,2016-08-22 12:06:27.0000000 -07:00,141.3,1,23
Josie Merrill - SR TEAM TRAINING 05-21-2016,Full Back,26.5122,2016-08-22 12:48:05.0000000 -07:00,278.05519,2905.26636,138.78,2016-08-22 12:08:01.0000000 -07:00,138.78,3,10
Josie Merrill - SR V CR 05-22-2016,Full Back,29.2626,2016-08-22 01:21:29.0000000 -07:00,909.27136,9504.8606,671.75002,2016-08-22 12:55:37.0000000 -07:00,671.75002,10,50
Josie Merrill - SR TEAM TRAINING 05-24-2016,Full Back,26.343,2016-08-22 01:22:01.0000000 -07:00,485.30221,4663.20605,277.31,2016-08-22 12:22:17.0000000 -07:00,277.31,4,27
Josie Merrill - SR TEAM TRAINING 05-25-2016,Full Back,25.2738,2016-08-22 12:49:46.0000000 -07:00,265.13737,2670.15881,90.85,2016-08-22 12:09:23.0000000 -07:00,90.85,2,11
Josie Merrill - SR V AL 05-26-2016,Full Back,28.0854,2016-08-22 01:37:41.0000000 -07:00,951.60962,10414.71094,628.88999,2016-08-22 12:51:43.0000000 -07:00,628.88999,8,57
Josie Merrill - SR TEAM TRAINING 05-28-2016,Full Back,24.9282,2016-08-22 01:11:00.0000000 -07:00,291.92166,3000.74585,74.95,2016-08-22 12:05:06.0000000 -07:00,74.95,1,8
Josie Merrill - SR V PT 5-29-2016,Full Back,25.7022,2016-08-22 12:56:47.0000000 -07:00,618.55856,6678.37903,476.25001,2016-08-22 12:34:27.0000000 -07:00,476.25001,8,35
Josie Merrill - SR TEAM TRAINING 06-06-2016,Full Back,22.887,2016-08-22 01:01:05.0000000 -07:00,488.70301,4817.28955,70.84,2016-08-22 12:37:59.0000000 -07:00,70.84,1,9
Josie Merrill - SR TEAM TRAINING 06-07-2016,Full Back,27.0306,2016-08-22 01:14:19.0000000 -07:00,440.36379,4087.92145,396.13001,2016-08-22 12:00:00.0000000 -07:00,396.13001,6,14
Josie Merrill - SR TEAM TRAINING 06-09-2016,Full Back,29.619,2016-08-22 01:47:56.0000000 -07:00,575.45893,5595.46259,381.72999,2016-08-22 12:09:56.0000000 -07:00,381.72999,5,25
Josie Merrill - SR TEAM TRAINING 06-10-2016,Full Back,26.2386,2016-08-22 01:04:43.0000000 -07:00,388.74199,4094.8269,156.35,2016-08-22 12:11:41.0000000 -07:00,156.35,4,13
Josie Merrill - SR TEAM TRAINING 06-11-2016,Full Back,20.871,2016-08-22 12:39:55.0000000 -07:00,220.41488,2391.41284,61.24,2016-08-22 12:03:19.0000000 -07:00,61.24,0,9
Josie Merrill - SR TEAM TRAINING 06-13-2016,Full Back,24.4854,2016-08-22 12:55:23.0000000 -07:00,380.16354,3799.58447,230.01,2016-08-22 12:12:23.0000000 -07:00,230.01,2,30
Josie Merrill - SR TEAM TRAINING 06-15-2016,Full Back,26.937,2016-08-22 01:02:32.0000000 -07:00,385.73081,3921.36969,534.46001,2016-08-22 12:08:44.0000000 -07:00,534.46001,9,14
Josie Merrill - SR TEAM TRAINING 06-16-2016,Full Back,26.9262,2016-08-22 01:40:11.0000000 -07:00,515.47606,5659.21863,127.13,2016-08-22 12:01:58.0000000 -07:00,127.13,1,13
Josie Merrill - SR V SB 06-19-2016,Full Back,25.749,2016-08-22 12:25:31.0000000 -07:00,296.15894,3256.20996,349.27,2016-08-22 12:18:26.0000000 -07:00,349.27,5,25
Josie Merrill - SR TEAM TRAINING 06-21-2016,Full Back,22.7358,2016-08-22 01:04:18.0000000 -07:00,426.07345,4288.32837,54.1,2016-08-22 12:19:13.0000000 -07:00,54.1,0,8
Josie Merrill - SR TEAM TRAINING 06-22-2016,Full Back,24.3882,2016-08-22 01:09:20.0000000 -07:00,389.42899,3933.35223,102.58,2016-08-22 12:10:21.0000000 -07:00,102.58,2,10
Josie Merrill - SR TEAM TRAINING 06-24-2016,Full Back,18.8802,2016-08-22 12:38:28.0000000 -07:00,223.58827,2153.97046,4.95,2016-08-22 12:09:41.0000000 -07:00,4.95,0,1
Josie Merrill - SR V KC 06-25-2016,Full Back,24.3774,2016-08-22 12:24:53.0000000 -07:00,239.55766,2639.29272,267.18,2016-08-22 12:16:27.0000000 -07:00,267.18,4,18
Josie Merrill - SR TEAM TRAINING 06-28-2016,Full Back,26.2026,2016-08-22 01:01:06.0000000 -07:00,366.45166,3778.03809,292.37001,2016-08-22 12:21:20.0000000 -07:00,292.37001,6,24
Josie Merrill - SR TEAM TRAINING 06-30-2016,Full Back,28.6578,2016-08-22 01:16:19.0000000 -07:00,365.14835,4301.67865,528.85001,2016-08-22 12:07:07.0000000 -07:00,528.85001,8,19
Isabel Quinn - SR TEAM TRAINING 03-14-2016,Full Back,24.9606,2016-08-22 01:08:31.0000000 -07:00,671.40794,6581.04028,178.84,2016-08-22 12:21:26.0000000 -07:00,178.84,1,18
Isabel Quinn - SR TEAM TRAINING 03-15-2016,Full Back,22.1634,2016-08-22 01:00:40.0000000 -07:00,422.42697,4281.08978,63.86,2016-08-22 12:16:11.0000000 -07:00,63.86,0,9
Isabel Quinn - SR TEAM TRAINING 03-16-2016,Full Back,25.2342,2016-08-22 01:05:34.0000000 -07:00,598.44089,5583.27435,756.6,2016-08-22 12:21:04.0000000 -07:00,756.6,5,27
Isabel Quinn - SR TESTING 03-18-2016,Full Back,0,2016-08-22 02:36:31.0000000 -07:00,600.6334,0,0,2016-08-22 12:07:29.0000000 -07:00,0,0,0
Isabel Quinn - SR TEAM TRAINING 03-20-2016,Full Back,23.8338,2016-08-22 01:04:44.0000000 -07:00,684.94981,6727.94366,336.14001,2016-08-22 12:22:05.0000000 -07:00,336.14001,2,22
Isabel Quinn - SR TEAM TRAINING 03-21-2016,Full Back,22.0878,2016-08-22 01:19:06.0000000 -07:00,618.20134,6325.78772,111.13,2016-08-22 12:12:12.0000000 -07:00,111.13,0,20
Isabel Quinn - SR TEAM TRAINING 03-22-2016,Full Back,26.0946,2016-08-22 01:13:08.0000000 -07:00,508.18549,5156.40677,332.11,2016-08-22 12:11:02.0000000 -07:00,332.11,4,20
Isabel Quinn - SR TEAM TRAINING 03-23-2016,Full Back,25.1442,2016-08-22 01:12:08.0000000 -07:00,523.99606,5196.0639,295.75001,2016-08-22 12:08:02.0000000 -07:00,295.75001,3,19
