Date,Rating,Duration,Load,Category,FullName
6/30/2016,0,0,0,Off,Reyna Swanson
6/30/2016,5,120,600,Team Training,Tasha Conner
6/30/2016,7,75,525,Team Training,May Garner
6/30/2016,7,90,630,Team Training,Cassandra White
6/30/2016,3,90,270,Team Training,Josie Merrill
6/30/2016,6,120,720,Team Training,Isabel Quinn
6/30/2016,6,120,720,Team Training,Isabel Quinn
6/30/2016,6,80,480,Team Training,Megan Britt
6/30/2016,5,70,350,Team Training,Tiffany Morrison
6/30/2016,5,75,375,Team Training,Tiffany Morrison
6/29/2016,0,0,0,Off,May Garner
6/29/2016,0,0,0,Off,Delia Alston
6/29/2016,0,0,0,Off,Cassandra White
6/29/2016,0,0,0,Off,Josie Merrill
6/29/2016,4,60,240,Other,Isabel Quinn
6/29/2016,3,45,135,Lifting,Tiffany Morrison
6/28/2016,7,120,840,Team Training,Tasha Conner
6/28/2016,8,105,840,Team Training,Cassandra White
6/28/2016,7,90,630,Team Training,Josie Merrill
6/28/2016,4,60,240,Lifting,Josie Merrill
6/28/2016,0,0,0,Off,Megan Britt
6/27/2016,7,60,420,Lifting,Cassandra White
6/27/2016,0,0,0,Off,Josie Merrill
6/27/2016,0,0,0,Off,Megan Britt
6/26/2016,0,0,0,Off,Delia Alston
6/26/2016,8,30,240,Game,Cassandra White
6/26/2016,0,0,0,Off,Josie Merrill
6/26/2016,0,0,0,Off,Tiffany Morrison
6/25/2016,10,90,900,Game,Megan Britt
6/25/2016,7,90,630,Team Training,Tiffany Morrison
6/24/2016,5,60,300,Team Training,Tasha Conner
6/24/2016,4,53,212,Team Training,May Garner
6/24/2016,6,60,360,Team Training,Cassandra White
6/24/2016,3,90,270,Team Training,Josie Merrill
6/24/2016,4,50,200,Team Training,Isabel Quinn
6/24/2016,3,60,180,Team Training,Tiffany Morrison
6/23/2016,0,0,0,Off,Tasha Conner
6/23/2016,2,180,360,Other,Megan Britt
6/23/2016,2,35,70,Speed,Tiffany Morrison
6/22/2016,8,105,840,Team Technical,Reyna Swanson
6/22/2016,7,120,840,Team Training,Tasha Conner
6/22/2016,7,120,840,Team Training,Saundra Maldonado
6/22/2016,8,90,720,Team Training,May Garner
6/22/2016,7,90,630,Team Training,Benita Gallagher
6/22/2016,7,90,630,Team Training,Cassandra White
6/22/2016,5,90,450,Team Training,Josie Merrill
6/22/2016,7,105,735,Team Training,Isabel Quinn
6/22/2016,6,90,540,Team Training,Marta Saunders
6/22/2016,5,45,225,Team Training,Tiffany Morrison
6/21/2016,7,70,490,Team Training,Catalina Rosario
6/21/2016,3,120,360,Team Training,Tasha Conner
6/21/2016,5,90,450,Team Training,May Garner
6/21/2016,7,90,630,Team Training,Cassandra White
6/21/2016,5,90,450,Team Training,Josie Merrill
6/21/2016,6,75,450,Team Training,Isabel Quinn
6/21/2016,6,60,360,Lifting,Isabel Quinn
6/21/2016,3,75,225,Team Training,Silvia Pitts
6/21/2016,8,80,640,Team Training,Megan Britt
6/21/2016,5,60,300,Team Training,Tiffany Morrison
6/20/2016,0,0,0,Off,May Garner
6/20/2016,0,0,0,Off,Delia Alston
6/20/2016,0,0,0,Off,Cassandra White
